Spring Game, Date: Apr 13 (Sat) Location: West Lafayette, Ind. Time: 12 PM
Indiana State, Date: Aug 31 (Sat) Location: West Lafayette, Ind. Time: TBA
Notre Dame, Date: Sep 14 (Sat) Location: West Lafayette, Ind. Time: TBA
Oregon State, Date: Sep 21 (Sat) Location: Corvallis, Ore. Time: TBA
Nebraska, Date: Sep 28 (Sat) Location: West Lafayette, Ind. Time: TBA
Wisconsin, Date: Oct 5 (Sat) Location: Madison, Wis. Time: TBA
Illinois, Date: Oct 12 (Sat) Location: Urbana-Champaign, Ill. Time: TBA
Oregon, Date: Oct 19 (Sat) Location: West Lafayette, Ind. Time: TBA
Northwestern, Date: Nov 2 (Sat) Location: West Lafayette, Ind. Time: TBA
Ohio State, Date: Nov 9 (Sat) Location: Columbus, Ohio Time: TBA
Penn State, Date: Nov 16 (Sat) Location: West Lafayette, Ind. Time: TBA
Michigan State, Date: Nov 23 (Sat) Location: East Lansing, Mich. Time: TBA
Indiana, Date: Nov 30 (Sat) Location: Bloomington, Ind. Time: TBA
